domain,success,redirected_url,error,tech_cdn,tech_js_frameworks,server_server,server_cloudflare,server_CF-Cache-Status,server_CF-RAY
tbscgopt.cc ,False,,"Both HTTPS and HTTP failed: Message: unknown error: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH
  (Session info: chrome=134.0.6998.88)
Stacktrace:
#0 0x561dfc594a1a <unknown>
#1 0x561dfc04c390 <unknown>
#2 0x561dfc043518 <unknown>
#3 0x561dfc033a39 <unknown>
#4 0x561dfc03573d <unknown>
#5 0x561dfc033dce <unknown>
#6 0x561dfc033775 <unknown>
#7 0x561dfc033449 <unknown>
#8 0x561dfc031159 <unknown>
#9 0x561dfc031a2a <unknown>
#10 0x561dfc04f829 <unknown>
#11 0x561dfc0ead85 <unknown>
#12 0x561dfc0c3bd2 <unknown>
#13 0x561dfc0ea07b <unknown>
#14 0x561dfc0c39a3 <unknown>
#15 0x561dfc08f60e <unknown>
#16 0x561dfc090dd1 <unknown>
#17 0x561dfc55addb <unknown>
#18 0x561dfc55ecbc <unknown>
#19 0x561dfc542392 <unknown>
#20 0x561dfc55f834 <unknown>
#21 0x561dfc5261ef <unknown>
#22 0x561dfc583038 <unknown>
#23 0x561dfc583216 <unknown>
#24 0x561dfc593896 <unknown>
#25 0x7f3f212b01c4 <unknown>
 | Message: unknown error: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH
  (Session info: chrome=134.0.6998.88)
Stacktrace:
#0 0x561dfc594a1a <unknown>
#1 0x561dfc04c390 <unknown>
#2 0x561dfc043518 <unknown>
#3 0x561dfc033a39 <unknown>
#4 0x561dfc03573d <unknown>
#5 0x561dfc033dce <unknown>
#6 0x561dfc033775 <unknown>
#7 0x561dfc033449 <unknown>
#8 0x561dfc031159 <unknown>
#9 0x561dfc031a2a <unknown>
#10 0x561dfc04f829 <unknown>
#11 0x561dfc0ead85 <unknown>
#12 0x561dfc0c3bd2 <unknown>
#13 0x561dfc0ea07b <unknown>
#14 0x561dfc0c39a3 <unknown>
#15 0x561dfc08f60e <unknown>
#16 0x561dfc090dd1 <unknown>
#17 0x561dfc55addb <unknown>
#18 0x561dfc55ecbc <unknown>
#19 0x561dfc542392 <unknown>
#20 0x561dfc55f834 <unknown>
#21 0x561dfc5261ef <unknown>
#22 0x561dfc583038 <unknown>
#23 0x561dfc583216 <unknown>
#24 0x561dfc593896 <unknown>
#25 0x7f3f212b01c4 <unknown>
",,,,,,
tbscghex.cc ,True,http://tbscghex.cc/,,Cloudflare,,,,,
trinitywet.com ,True,http://trinitywet.com/,,,,,,,
trinitydhr.com ,True,http://trinitydhr.com/,,,,,,,
trinityhex.com ,True,http://trinityhex.com/,,,,,,,
tacpointhex.cc ,True,https://tacpointplz.cc/#/pc/login,,,Vue.js,,,,
tacpointalw.cc ,True,https://tacpointalw.cc/#/404,,,Vue.js,,,,
tacpointopt.cc ,True,https://tacpointplz.cc/#/pc/login,,,Vue.js,,,,
nexxenun.cc ,True,https://nexxenae.cc/#/,,,,,,,
nexxenae.cc ,True,https://nexxenae.cc/#/login,,,,,,,
bestwestarkujr.com ,True,http://bestwestarkujr.com/,,,,,,,
gummicubehue.com ,True,http://gummicubehue.com/,,,,,,,
work-launcht.com ,True,http://work-launcht.com/,,,,,,,
bnktprohex.com ,True,http://bnktprohex.com/,,,,,,,
bnktproto.com ,True,http://bnktproto.com/,,,,,,,
heihotelsy.com ,True,http://heihotelsy.com/,,,,,,,
bestwestannkle.com ,True,http://bestwestannkle.com/,,,,,,,
work-launchta.com ,True,http://work-launchta.com/,,,,,,,
work-locariaam.com ,True,http://work-locariaam.com/,,,,,,,
work-launch.com ,True,http://work-launch.com/,,,,,,,
theasoprojecttsn.com ,True,http://theasoprojecttsn.com/,,,,,,,
gatecotur.com ,True,http://gatecotur.com/,,,,,,,
kondigitalwork.cc ,True,https://kondigitalme.cc/#/login,,,,,,,
gummicubedfe.com ,True,http://gummicubedfe.com/,,,,,,,
kondigitalae.cc ,True,https://kondigitalau.cc/#/login,,,,,,,
klktechnology.cc ,True,https://klktechnologyt.cc/#/login,,,,,,,
glorietadmin2.com ,True,http://glorietadmin2.com/,,,,,,,
allisonworldeshop.com ,True,http://allisonworldeshop.com/,,,,,,,
strawberryhotelstw.com ,True,http://strawberryhotelstw.com/,,,,,,,
sundewsolutionsw.com ,True,http://sundewsolutionsw.com/,,,,,,,
allisonworldetshop.com ,True,http://allisonworldetshop.com/,,,,,,,
redasotaps.com ,True,http://redasotaps.com/,,,,,,,
gummicubebnr.com ,True,http://gummicubebnr.com/,,,,,,,
sundewsolutionsn.com ,True,http://sundewsolutionsn.com/,,,,,,,
heihotelst.com ,True,http://heihotelst.com/,,,,,,,
strawberryhotelsq.com ,True,http://strawberryhotelsq.com/,,,,,,,
heihotelsty.com ,True,http://heihotelsty.com/,,,,,,,
strawberryhotelsw.com ,True,http://strawberryhotelsw.com/,,,,,,,
redasopas.com ,True,http://redasopas.com/,,,,,,,
allisonworldtshop.com ,True,http://allisonworldtshop.com/,,,,,,,
sundewsolutionstn.com ,True,http://sundewsolutionstn.com/,,,,,,,
gummicubeghr.com ,True,http://gummicubeghr.com/,,,,,,,
theasoprojectsn.com ,True,http://theasoprojectsn.com/,,,,,,,
work-locariaan.com ,True,http://work-locariaan.com/,,,,,,,
webmarketingam.com ,True,http://webmarketingam.com/,,,,,,,
strawberryhotelstq.com ,True,http://strawberryhotelstq.com/,,,,,,,
kjgb1xgw.cc ,True,https://kjgb1xgw.cc/,,,,,,,
mediaxplz.cc ,True,https://mediaxalw.cc/#/,,,,,,,
klktechnologyo.cc ,True,https://klktechnologya.cc/#/login,,,,,,,
fatjoen12.cc ,True,https://fatjoen12.cc/#/login,,,,,,,
klktechnologyt.cc ,True,https://klktechnologyt.cc/#/login,,,,,,,
mediaxhex.com ,True,https://mediaxplz.cc/#/login,,,,,,,
parilondtxwe.cc ,False,,"Both HTTPS and HTTP failed: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=134.0.6998.88)
Stacktrace:
#0 0x561dfc594a1a <unknown>
#1 0x561dfc04c390 <unknown>
#2 0x561dfc043518 <unknown>
#3 0x561dfc033a39 <unknown>
#4 0x561dfc03573d <unknown>
#5 0x561dfc033dce <unknown>
#6 0x561dfc033775 <unknown>
#7 0x561dfc033449 <unknown>
#8 0x561dfc031159 <unknown>
#9 0x561dfc031a2a <unknown>
#10 0x561dfc04f829 <unknown>
#11 0x561dfc0ead85 <unknown>
#12 0x561dfc0c3bd2 <unknown>
#13 0x561dfc0ea07b <unknown>
#14 0x561dfc0c39a3 <unknown>
#15 0x561dfc08f60e <unknown>
#16 0x561dfc090dd1 <unknown>
#17 0x561dfc55addb <unknown>
#18 0x561dfc55ecbc <unknown>
#19 0x561dfc542392 <unknown>
#20 0x561dfc55f834 <unknown>
#21 0x561dfc5261ef <unknown>
#22 0x561dfc583038 <unknown>
#23 0x561dfc583216 <unknown>
#24 0x561dfc593896 <unknown>
#25 0x7f3f212b01c4 <unknown>
 | Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=134.0.6998.88)
Stacktrace:
#0 0x561dfc594a1a <unknown>
#1 0x561dfc04c390 <unknown>
#2 0x561dfc043518 <unknown>
#3 0x561dfc033a39 <unknown>
#4 0x561dfc03573d <unknown>
#5 0x561dfc033dce <unknown>
#6 0x561dfc033775 <unknown>
#7 0x561dfc033449 <unknown>
#8 0x561dfc031159 <unknown>
#9 0x561dfc031a2a <unknown>
#10 0x561dfc04f829 <unknown>
#11 0x561dfc0ead85 <unknown>
#12 0x561dfc0c3bd2 <unknown>
#13 0x561dfc0ea07b <unknown>
#14 0x561dfc0c39a3 <unknown>
#15 0x561dfc08f60e <unknown>
#16 0x561dfc090dd1 <unknown>
#17 0x561dfc55addb <unknown>
#18 0x561dfc55ecbc <unknown>
#19 0x561dfc542392 <unknown>
#20 0x561dfc55f834 <unknown>
#21 0x561dfc5261ef <unknown>
#22 0x561dfc583038 <unknown>
#23 0x561dfc583216 <unknown>
#24 0x561dfc593896 <unknown>
#25 0x7f3f212b01c4 <unknown>
",,,,,,
haklw.cc ,True,https://xdycoinaqp.cc/#/pc,,,Vue.js,,,,
xdycoins.cc ,True,https://xdycoinaqp.cc/#/pc,,,Vue.js,,,,
fivelyopt.cc ,True,https://fivelyalw.cc/#/login,,,,,,,
fivelyhex.cc ,True,https://fivelyplz.cc/#/login,,,,,,,
combinadls.cc ,True,https://onlinecombinedep.com/#/,,,,,,,
